date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:01:58	120440/120440	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Apr%202023%2008:01:07%20GMT	https://capitalclime.com/	C:/My%20Web%20Sites/cryptoexp/capitalclime.com/index.html	(from )
09:01:58	1280/1280	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Apr%202023%2008:01:07%20GMT	https://capitalclime.com/robots.txt		(from )
09:02:00	19523/19523	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Feb%202023%2014:30:23%20GMT	https://capitalclime.com/assets/images/logoIcon/favicon.png	C:/My%20Web%20Sites/cryptoexp/capitalclime.com/assets/images/logoIcon/favicon.png	(from https://capitalclime.com/)
09:02:04	25529/25529	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jul%202022%2016:14:02%20GMT	https://capitalclime.com/assets/images/seo/62e1644a6eaf71658938442.jpeg	C:/My%20Web%20Sites/cryptoexp/capitalclime.com/assets/images/seo/62e1644a6eaf71658938442.jpg	(from https://capitalclime.com/)
09:02:05	148816/148816	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Feb%202023%2014:26:31%20GMT	https://capitalclime.com/assets/images/logoIcon/logo.png	C:/My%20Web%20Sites/cryptoexp/capitalclime.com/assets/images/logoIcon/logo.png	(from https://capitalclime.com/)
09:02:08	27451/27451	---M--	200	added ('OK')	application/javascript	date:Mon,%2028%20Nov%202022%2003:37:54%20GMT	https://capitalclime.com/assets/templates/basic/newfront/js/scer.js	C:/My%20Web%20Sites/cryptoexp/capitalclime.com/assets/templates/basic/newfront/js/scer.js	(from https://capitalclime.com/)
09:02:08	425248/425248	---M--	200	added ('OK')	text/css	date:Sun,%2012%20Feb%202023%2005:58:06%20GMT	https://capitalclime.com/assets/templates/basic/newfront/css/main797c.css?v=1669374276	C:/My%20Web%20Sites/cryptoexp/capitalclime.com/assets/templates/basic/newfront/css/main797c797c.css	(from https://capitalclime.com/)
09:02:10	46903/46903	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Apr%202023%2008:01:19%20GMT	https://capitalclime.com/copytrading	C:/My%20Web%20Sites/cryptoexp/capitalclime.com/copytrading.html	(from https://capitalclime.com/)
09:02:10	436369/436369	---M--	200	added ('OK')	text/css	date:Sun,%2012%20Feb%202023%2014:20:42%20GMT	https://capitalclime.com/assets/templates/basic/newfront/css/main797cc.css?v=1669374276	C:/My%20Web%20Sites/cryptoexp/capitalclime.com/assets/templates/basic/newfront/css/main797cc797c.css	(from https://capitalclime.com/)
09:02:11	36505/36505	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Apr%202023%2008:01:21%20GMT	https://capitalclime.com/options	C:/My%20Web%20Sites/cryptoexp/capitalclime.com/options.html	(from https://capitalclime.com/)
09:02:12	36617/36617	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Apr%202023%2008:01:22%20GMT	https://capitalclime.com/stocks	C:/My%20Web%20Sites/cryptoexp/capitalclime.com/stocks.html	(from https://capitalclime.com/)
09:02:14	64130/64130	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Apr%202023%2008:01:24%20GMT	https://capitalclime.com/forex	C:/My%20Web%20Sites/cryptoexp/capitalclime.com/forex.html	(from https://capitalclime.com/)
09:02:15	39613/39613	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Apr%202023%2008:01:25%20GMT	https://capitalclime.com/crypto	C:/My%20Web%20Sites/cryptoexp/capitalclime.com/crypto.html	(from https://capitalclime.com/)
09:02:17	41762/41762	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Apr%202023%2008:01:27%20GMT	https://capitalclime.com/nfp	C:/My%20Web%20Sites/cryptoexp/capitalclime.com/nfp.html	(from https://capitalclime.com/)
09:02:19	45872/45872	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Apr%202023%2008:01:29%20GMT	https://capitalclime.com/realestate	C:/My%20Web%20Sites/cryptoexp/capitalclime.com/realestate.html	(from https://capitalclime.com/)
09:02:20	45174/45174	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Apr%202023%2008:01:30%20GMT	https://capitalclime.com/infrastructure	C:/My%20Web%20Sites/cryptoexp/capitalclime.com/infrastructure.html	(from https://capitalclime.com/)
09:02:22	44031/44031	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Apr%202023%2008:01:32%20GMT	https://capitalclime.com/expert-traders	C:/My%20Web%20Sites/cryptoexp/capitalclime.com/expert-traders.html	(from https://capitalclime.com/)
09:02:24	43136/43136	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Apr%202023%2008:01:34%20GMT	https://capitalclime.com/financial	C:/My%20Web%20Sites/cryptoexp/capitalclime.com/financial.html	(from https://capitalclime.com/)
09:02:26	39648/39648	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Apr%202023%2008:01:35%20GMT	https://capitalclime.com/wealth	C:/My%20Web%20Sites/cryptoexp/capitalclime.com/wealth.html	(from https://capitalclime.com/)
09:02:27	39612/39612	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Apr%202023%2008:01:37%20GMT	https://capitalclime.com/retirement	C:/My%20Web%20Sites/cryptoexp/capitalclime.com/retirement.html	(from https://capitalclime.com/)
09:02:28	42143/42143	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Apr%202023%2008:01:38%20GMT	https://capitalclime.com/page/about	C:/My%20Web%20Sites/cryptoexp/capitalclime.com/page/about.html	(from https://capitalclime.com/)
09:02:30	59672/59672	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Apr%202023%2008:01:40%20GMT	https://capitalclime.com/responsibility	C:/My%20Web%20Sites/cryptoexp/capitalclime.com/responsibility.html	(from https://capitalclime.com/)
09:02:31	33552/33552	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Apr%202023%2008:01:41%20GMT	https://capitalclime.com/career	C:/My%20Web%20Sites/cryptoexp/capitalclime.com/career.html	(from https://capitalclime.com/)
09:02:33	31534/31534	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Apr%202023%2008:01:43%20GMT	https://capitalclime.com/blog	C:/My%20Web%20Sites/cryptoexp/capitalclime.com/blog.html	(from https://capitalclime.com/)
09:02:34	83/83	---M--	409	error ('Conflict')	text/html	date:Fri,%2028%20Apr%202023%2008:01:48%20GMT	https://capitalclime.com/contact	C:/My%20Web%20Sites/cryptoexp/capitalclime.com/contact.16.delayed	(from https://capitalclime.com/)
09:02:35	910/910	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202019%2018:15:00%20GMT	https://www.gstatic.com/images/branding/googlelogo/1x/googlelogo_color_42x16dp.png	C:/My%20Web%20Sites/cryptoexp/www.gstatic.com/images/branding/googlelogo/1x/googlelogo_color_42x16dp.png	(from https://capitalclime.com/)
09:02:37	79294/79294	---MC-	200	added ('OK')	text/javascript	date:Fri,%2028%20Apr%202023%2008:01:49%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit2	C:/My%20Web%20Sites/cryptoexp/translate.google.com/translate_a/element7876.js	(from https://capitalclime.com/)
09:02:41	36333/36333	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Jun%202022%2009:02:32%20GMT	https://capitalclime.com/assets/templates/basic/newfront/png/header-bg-1.png	C:/My%20Web%20Sites/cryptoexp/capitalclime.com/assets/templates/basic/newfront/png/header-bg-1.png	(from https://capitalclime.com/)
09:02:45	129833/129833	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Jun%202022%2009:02:32%20GMT	https://capitalclime.com/assets/templates/basic/newfront/png/header-bg-2.png	C:/My%20Web%20Sites/cryptoexp/capitalclime.com/assets/templates/basic/newfront/png/header-bg-2.png	(from https://capitalclime.com/)
09:02:46	83/83	---M--	409	error ('Conflict')	text/html	date:Fri,%2028%20Apr%202023%2008:02:00%20GMT	https://capitalclime.com/register	C:/My%20Web%20Sites/cryptoexp/capitalclime.com/register.1d.delayed	(from https://capitalclime.com/)
